connectance,immigration,noise,interaction,max_cap,stability_1,number_1,variation_mean_1,variation_std_1,variation_min_1,variation_max_1,variationnorm_mean_1,variationnorm_std_1,variationnorm_min_1,variationnorm_max_1,JS_mean_1,JS_std_1,JS_min_1,JS_max_1,JS_stab_1,log_width_1,log_loc_1,log_scale_1,log_stat_1,log_pval_1,pareto_a_1,pareto_loc_1,pareto_scale_1,pareto_stat_1,pareto_pval_1,pow_a_1,pow_loc_1,pow_scale_1,pow_stat_1,pow_pval_1,tpow_a_1,tpow_scale_1,tpow_R_1,tpow_p_1,tpow_stat_1,tpow_pval_1,exp_loc_1,exp_scale_1,exp_stat_1,exp_pval_1,norm_loc_1,norm_scale_1,norm_stat_1,norm_pval_1,stability_2,number_2,variation_mean_2,variation_std_2,variation_min_2,variation_max_2,variationnorm_mean_2,variationnorm_std_2,variationnorm_min_2,variationnorm_max_2,JS_mean_2,JS_std_2,JS_min_2,JS_max_2,JS_stab_2,log_width_2,log_loc_2,log_scale_2,log_stat_2,log_pval_2,pareto_a_2,pareto_loc_2,pareto_scale_2,pareto_stat_2,pareto_pval_2,pow_a_2,pow_loc_2,pow_scale_2,pow_stat_2,pow_pval_2,tpow_a_2,tpow_scale_2,tpow_R_2,tpow_p_2,tpow_stat_2,tpow_pval_2,exp_loc_2,exp_scale_2,exp_stat_2,exp_pval_2,norm_loc_2,norm_scale_2,norm_stat_2,norm_pval_2,stability_3,number_3,variation_mean_3,variation_std_3,variation_min_3,variation_max_3,variationnorm_mean_3,variationnorm_std_3,variationnorm_min_3,variationnorm_max_3,JS_mean_3,JS_std_3,JS_min_3,JS_max_3,JS_stab_3,log_width_3,log_loc_3,log_scale_3,log_stat_3,log_pval_3,pareto_a_3,pareto_loc_3,pareto_scale_3,pareto_stat_3,pareto_pval_3,pow_a_3,pow_loc_3,pow_scale_3,pow_stat_3,pow_pval_3,tpow_a_3,tpow_scale_3,tpow_R_3,tpow_p_3,tpow_stat_3,tpow_pval_3,exp_loc_3,exp_scale_3,exp_stat_3,exp_pval_3,norm_loc_3,norm_scale_3,norm_stat_3,norm_pval_3,stability_4,number_4,variation_mean_4,variation_std_4,variation_min_4,variation_max_4,variationnorm_mean_4,variationnorm_std_4,variationnorm_min_4,variationnorm_max_4,JS_mean_4,JS_std_4,JS_min_4,JS_max_4,JS_stab_4,log_width_4,log_loc_4,log_scale_4,log_stat_4,log_pval_4,pareto_a_4,pareto_loc_4,pareto_scale_4,pareto_stat_4,pareto_pval_4,pow_a_4,pow_loc_4,pow_scale_4,pow_stat_4,pow_pval_4,tpow_a_4,tpow_scale_4,tpow_R_4,tpow_p_4,tpow_stat_4,tpow_pval_4,exp_loc_4,exp_scale_4,exp_stat_4,exp_pval_4,norm_loc_4,norm_scale_4,norm_stat_4,norm_pval_4,stability_5,number_5,variation_mean_5,variation_std_5,variation_min_5,variation_max_5,variationnorm_mean_5,variationnorm_std_5,variationnorm_min_5,variationnorm_max_5,JS_mean_5,JS_std_5,JS_min_5,JS_max_5,JS_stab_5,log_width_5,log_loc_5,log_scale_5,log_stat_5,log_pval_5,pareto_a_5,pareto_loc_5,pareto_scale_5,pareto_stat_5,pareto_pval_5,pow_a_5,pow_loc_5,pow_scale_5,pow_stat_5,pow_pval_5,tpow_a_5,tpow_scale_5,tpow_R_5,tpow_p_5,tpow_stat_5,tpow_pval_5,exp_loc_5,exp_scale_5,exp_stat_5,exp_pval_5,norm_loc_5,norm_scale_5,norm_stat_5,norm_pval_5,stability_6,number_6,variation_mean_6,variation_std_6,variation_min_6,variation_max_6,variationnorm_mean_6,variationnorm_std_6,variationnorm_min_6,variationnorm_max_6,JS_mean_6,JS_std_6,JS_min_6,JS_max_6,JS_stab_6,log_width_6,log_loc_6,log_scale_6,log_stat_6,log_pval_6,pareto_a_6,pareto_loc_6,pareto_scale_6,pareto_stat_6,pareto_pval_6,pow_a_6,pow_loc_6,pow_scale_6,pow_stat_6,pow_pval_6,tpow_a_6,tpow_scale_6,tpow_R_6,tpow_p_6,tpow_stat_6,tpow_pval_6,exp_loc_6,exp_scale_6,exp_stat_6,exp_pval_6,norm_loc_6,norm_scale_6,norm_stat_6,norm_pval_6,stability_7,number_7,variation_mean_7,variation_std_7,variation_min_7,variation_max_7,variationnorm_mean_7,variationnorm_std_7,variationnorm_min_7,variationnorm_max_7,JS_mean_7,JS_std_7,JS_min_7,JS_max_7,JS_stab_7,log_width_7,log_loc_7,log_scale_7,log_stat_7,log_pval_7,pareto_a_7,pareto_loc_7,pareto_scale_7,pareto_stat_7,pareto_pval_7,pow_a_7,pow_loc_7,pow_scale_7,pow_stat_7,pow_pval_7,tpow_a_7,tpow_scale_7,tpow_R_7,tpow_p_7,tpow_stat_7,tpow_pval_7,exp_loc_7,exp_scale_7,exp_stat_7,exp_pval_7,norm_loc_7,norm_scale_7,norm_stat_7,norm_pval_7,stability_8,number_8,variation_mean_8,variation_std_8,variation_min_8,variation_max_8,variationnorm_mean_8,variationnorm_std_8,variationnorm_min_8,variationnorm_max_8,JS_mean_8,JS_std_8,JS_min_8,JS_max_8,JS_stab_8,log_width_8,log_loc_8,log_scale_8,log_stat_8,log_pval_8,pareto_a_8,pareto_loc_8,pareto_scale_8,pareto_stat_8,pareto_pval_8,pow_a_8,pow_loc_8,pow_scale_8,pow_stat_8,pow_pval_8,tpow_a_8,tpow_scale_8,tpow_R_8,tpow_p_8,tpow_stat_8,tpow_pval_8,exp_loc_8,exp_scale_8,exp_stat_8,exp_pval_8,norm_loc_8,norm_scale_8,norm_stat_8,norm_pval_8,stability_9,number_9,variation_mean_9,variation_std_9,variation_min_9,variation_max_9,variationnorm_mean_9,variationnorm_std_9,variationnorm_min_9,variationnorm_max_9,JS_mean_9,JS_std_9,JS_min_9,JS_max_9,JS_stab_9,log_width_9,log_loc_9,log_scale_9,log_stat_9,log_pval_9,pareto_a_9,pareto_loc_9,pareto_scale_9,pareto_stat_9,pareto_pval_9,pow_a_9,pow_loc_9,pow_scale_9,pow_stat_9,pow_pval_9,tpow_a_9,tpow_scale_9,tpow_R_9,tpow_p_9,tpow_stat_9,tpow_pval_9,exp_loc_9,exp_scale_9,exp_stat_9,exp_pval_9,norm_loc_9,norm_scale_9,norm_stat_9,norm_pval_9,stability_10,number_10,variation_mean_10,variation_std_10,variation_min_10,variation_max_10,variationnorm_mean_10,variationnorm_std_10,variationnorm_min_10,variationnorm_max_10,JS_mean_10,JS_std_10,JS_min_10,JS_max_10,JS_stab_10,log_width_10,log_loc_10,log_scale_10,log_stat_10,log_pval_10,pareto_a_10,pareto_loc_10,pareto_scale_10,pareto_stat_10,pareto_pval_10,pow_a_10,pow_loc_10,pow_scale_10,pow_stat_10,pow_pval_10,tpow_a_10,tpow_scale_10,tpow_R_10,tpow_p_10,tpow_stat_10,tpow_pval_10,exp_loc_10,exp_scale_10,exp_stat_10,exp_pval_10,norm_loc_10,norm_scale_10,norm_stat_10,norm_pval_10
1.000E+00,0.000E+00,5.000E-01,1.000E+00,1.000000E+03,0,10,1.658E-01,1.933E-01,5.118E-02,6.685E-01,1.625E-01,1.941E-01,4.529E-02,6.658E-01,3.245E-02,8.177E-03,1.000E-02,5.968E-02,6.572E-01,2.027E+00,0.000E+00,1.000E+00,3.685E-01,1.003E-01,3.057E-01,-2.166E-03,1.303E-02,3.647E-01,1.066E-01,6.089E-01,0.000E+00,1.976E+00,2.301E-01,6.019E-01,-1.281E+00,8.880E-02,-3.025E+00,2.732E-01,5.283E-01,3.955E-03,1.086E-02,8.821E-01,2.454E-01,5.146E-01,8.930E-01,7.039E-01,2.253E-01,6.311E-01,0,16,3.448E-01,4.516E-01,6.129E-02,1.837E+00,1.153E+00,3.276E+00,5.322E-02,1.414E+01,7.245E-02,2.263E-02,2.513E-02,1.628E-01,9.979E-01,2.037E+00,0.000E+00,1.000E+00,2.902E-01,1.093E-01,3.541E-01,-5.350E-03,4.058E-02,3.491E-01,3.011E-02,5.432E-01,0.000E+00,3.083E+00,1.874E-01,5.779E-01,-1.182E+00,4.548E-02,-1.026E+01,4.076E-02,6.054E-01,3.778E-06,2.006E-03,1.106E+00,2.272E-01,3.302E-01,1.108E+00,8.773E-01,1.737E-01,6.830E-01,1,10,1.210E-01,5.623E-02,5.632E-02,2.463E-01,1.193E-01,6.090E-02,4.895E-02,2.527E-01,4.442E-02,1.268E-02,1.717E-02,8.831E-02,1.679E-01,7.906E-01,0.000E+00,1.000E+00,1.632E-01,9.528E-01,7.815E-01,-2.207E-02,2.710E-01,2.912E-01,3.030E-01,7.650E-01,0.000E+00,2.818E+00,1.563E-01,9.676E-01,-1.740E+00,2.341E-01,-1.853E+00,3.078E-01,4.069E-01,5.214E-02,2.489E-01,1.017E+00,1.529E-01,9.736E-01,1.266E+00,8.549E-01,1.856E-01,8.812E-01,0,14,6.399E-01,4.505E-01,1.579E-01,1.871E+00,1.194E+00,1.909E+00,8.207E-02,7.756E+00,1.504E-01,1.179E-01,2.385E-02,5.777E-01,2.133E-15,1.635E+00,0.000E+00,1.000E+00,2.758E-01,1.968E-01,3.266E-01,-4.033E-03,1.991E-02,3.664E-01,3.423E-02,6.155E-01,0.000E+00,2.648E+00,1.412E-01,9.430E-01,-1.286E+00,7.653E-02,-6.128E+00,9.008E-02,5.306E-01,3.318E-04,1.588E-02,1.001E+00,1.922E-01,6.300E-01,1.017E+00,8.334E-01,1.539E-01,8.945E-01,0,10,9.707E-02,1.413E-02,7.100E-02,1.179E-01,9.452E-02,1.818E-02,6.478E-02,1.264E-01,4.244E-02,1.282E-02,8.395E-03,9.057E-02,9.520E-01,4.367E-01,0.000E+00,1.000E+00,1.940E-01,8.460E-01,1.406E+00,-3.007E-02,4.791E-01,2.682E-01,3.995E-01,2.213E+00,0.000E+00,1.300E+00,4.141E-01,4.579E-02,-2.336E+00,4.226E-01,-1.914E+00,2.924E-01,4.040E-01,5.492E-02,4.490E-01,5.879E-01,2.431E-01,5.275E-01,1.037E+00,4.149E-01,2.150E-01,6.955E-01,0,12,1.054E-01,6.180E-02,5.939E-02,2.351E-01,8.989E-02,6.844E-02,0.000E+00,2.332E-01,3.146E-02,7.518E-03,1.271E-02,6.564E-02,7.107E-01,1.222E+00,0.000E+00,1.000E+00,3.324E-01,1.104E-01,5.477E-01,-8.509E-03,9.245E-02,2.932E-01,2.078E-01,9.224E-01,0.000E+00,1.698E+00,1.931E-01,7.254E-01,-1.520E+00,1.501E-01,-2.491E+00,2.956E-01,4.746E-01,5.279E-03,8.394E-02,7.976E-01,2.343E-01,4.610E-01,8.816E-01,5.989E-01,1.999E-01,6.777E-01,0,15,1.967E-01,1.755E-01,6.098E-02,7.891E-01,1.941E-01,1.760E-01,5.221E-02,7.878E-01,5.647E-02,1.465E-02,2.064E-02,1.012E-01,3.611E-01,1.125E+00,0.000E+00,1.000E+00,1.642E-01,8.134E-01,4.330E-01,-2.122E-02,6.178E-02,4.109E-01,8.362E-03,6.459E-01,0.000E+00,3.752E+00,2.272E-01,3.670E-01,-1.336E+00,8.688E-02,-8.671E+00,4.951E-02,5.475E-01,9.554E-05,4.057E-02,1.161E+00,2.233E-01,3.878E-01,1.201E+00,9.384E-01,2.216E-01,3.976E-01,1,11,1.077E-01,5.014E-02,5.801E-02,2.035E-01,1.053E-01,5.217E-02,4.889E-02,2.042E-01,3.817E-02,9.864E-03,1.224E-02,6.864E-02,6.082E-01,9.334E-01,0.000E+00,1.000E+00,1.482E-01,9.692E-01,6.149E-01,-1.424E-02,1.856E-01,2.718E-01,3.297E-01,7.609E-01,0.000E+00,3.521E+00,2.118E-01,6.544E-01,-1.585E+00,1.764E-01,-2.592E+00,2.428E-01,3.977E-01,4.419E-02,1.713E-01,1.182E+00,1.657E-01,9.233E-01,1.353E+00,9.970E-01,1.839E-01,8.508E-01,0,14,5.570E-01,6.500E-01,7.890E-02,2.500E+00,5.474E-01,6.536E-01,6.461E-02,2.518E+00,1.366E-01,8.114E-02,2.503E-02,4.461E-01,2.432E-02,1.759E+00,0.000E+00,1.000E+00,4.127E-01,1.134E-02,2.822E+00,-1.664E+00,1.711E+00,2.780E-01,1.898E-01,7.904E-01,0.000E+00,1.474E+00,2.943E-01,1.437E-01,-1.246E+00,6.572E-02,-7.928E+00,6.780E-02,5.680E-01,8.501E-05,7.128E-03,7.626E-01,2.914E-01,1.512E-01,7.698E-01,5.289E-01,2.243E-01,4.233E-01,1,9,1.027E-01,3.683E-02,5.807E-02,1.809E-01,9.870E-02,4.242E-02,4.449E-02,1.910E-01,3.985E-02,1.309E-02,1.256E-02,9.176E-02,5.235E-01,6.082E-01,0.000E+00,1.000E+00,2.250E-01,6.993E-01,1.087E+05,-9.925E+04,9.925E+04,1.706E-01,9.559E-01,1.053E+00,0.000E+00,2.896E+00,2.291E-01,6.746E-01,-2.017E+00,3.390E-01,-1.436E+00,3.553E-01,3.300E-01,2.250E-01,4.192E-01,9.100E-01,1.716E-01,9.536E-01,1.329E+00,7.600E-01,2.231E-01,7.105E-01
1.000E+00,0.000E+00,5.000E-01,9.000E-01,1.000000E+03,0,11,9.636E-02,5.102E-02,5.464E-02,2.058E-01,2.322E+00,5.478E+00,0.000E+00,1.607E+01,3.310E-02,7.863E-03,1.454E-02,5.765E-02,1.764E-01,1.196E+00,0.000E+00,1.000E+00,2.930E-01,2.486E-01,5.007E-01,-7.871E-03,7.846E-02,3.850E-01,5.622E-02,8.058E-01,0.000E+00,2.037E+00,1.601E-01,9.406E-01,-1.471E+00,1.421E-01,-3.251E+00,2.499E-01,5.464E-01,1.313E-03,7.059E-02,8.044E-01,2.465E-01,4.491E-01,8.750E-01,5.769E-01,1.474E-01,9.707E-01,1,11,1.076E-01,4.108E-02,6.544E-02,2.015E-01,1.045E-01,4.393E-02,6.357E-02,2.107E-01,4.499E-02,1.320E-02,1.126E-02,9.095E-02,7.769E-01,5.199E-01,0.000E+00,1.000E+00,1.850E-01,8.460E-01,1.184E+00,-1.965E-02,3.799E-01,2.708E-01,3.342E-01,1.418E+00,0.000E+00,1.755E+00,2.403E-01,4.823E-01,-2.139E+00,3.433E-01,-2.243E+00,2.872E-01,3.777E-01,6.431E-02,3.603E-01,6.137E-01,1.928E-01,8.079E-01,9.740E-01,4.466E-01,1.537E-01,9.573E-01,1,10,9.005E-02,4.678E-02,5.670E-02,2.006E-01,8.630E-02,4.879E-02,4.717E-02,1.982E-01,3.281E-02,8.385E-03,1.189E-02,6.734E-02,7.717E-01,8.786E-01,0.000E+00,1.000E+00,2.578E-01,4.497E-01,5.653E-01,-9.740E-03,1.267E-01,4.058E-01,5.320E-02,1.004E+00,0.000E+00,2.039E+00,2.631E-01,4.233E-01,-1.537E+00,1.697E-01,-4.029E+00,2.073E-01,5.661E-01,1.484E-03,1.169E-01,8.527E-01,2.914E-01,3.020E-01,9.696E-01,5.483E-01,2.077E-01,7.425E-01,0,15,2.202E-01,1.838E-01,7.282E-02,7.007E-01,2.202E-01,1.906E-01,6.732E-02,7.117E-01,7.057E-02,2.498E-02,2.540E-02,1.571E-01,3.105E-01,1.382E+00,0.000E+00,1.000E+00,2.809E-01,1.538E-01,3.208E-01,1.202E-02,2.929E-02,3.257E-01,6.446E-02,6.896E-01,0.000E+00,2.313E+00,1.773E-01,6.972E-01,-1.388E+00,1.001E-01,-5.049E+00,1.256E-01,5.407E-01,1.239E-04,4.132E-02,8.601E-01,2.764E-01,1.667E-01,9.014E-01,6.408E-01,1.494E-01,8.911E-01,0,10,9.990E-02,6.145E-02,5.070E-02,2.392E-01,1.008E+00,2.879E+00,4.523E-02,1.011E+01,3.200E-02,8.849E-03,1.095E-02,6.183E-02,9.143E-02,1.302E+00,0.000E+00,1.000E+00,3.629E-01,1.096E-01,6.101E-01,-1.442E-02,1.064E-01,3.396E-01,1.567E-01,9.176E-01,0.000E+00,1.579E+00,2.587E-01,4.451E-01,-1.570E+00,1.803E-01,-1.194E+00,4.726E-01,5.173E-01,5.173E-03,9.194E-02,7.637E-01,2.751E-01,3.685E-01,8.556E-01,6.070E-01,2.275E-01,6.174E-01,0,10,6.769E-01,3.530E-01,2.601E-01,1.269E+00,1.912E+00,4.586E+00,0.000E+00,1.950E+01,2.383E-01,1.427E-01,2.852E-02,6.394E-01,1.877E-01,7.054E-01,0.000E+00,1.000E+00,1.624E-01,9.546E-01,6.019E-01,3.469E-04,1.941E-01,4.026E-01,5.631E-02,1.062E+00,0.000E+00,2.584E+00,2.051E-01,7.593E-01,-1.608E+00,1.921E-01,-4.399E+00,1.658E-01,5.381E-01,3.099E-03,1.945E-01,1.039E+00,2.358E-01,5.683E-01,1.234E+00,6.903E-01,1.895E-01,8.651E-01,0,16,2.607E-01,3.819E-01,7.143E-02,1.673E+00,2.445E-01,3.807E-01,0.000E+00,1.687E+00,6.787E-02,2.370E-02,2.053E-02,1.586E-01,4.086E-01,1.216E+00,0.000E+00,1.000E+00,1.896E-01,5.614E-01,1.146E+07,-1.322E+07,1.322E+07,1.523E-01,8.518E-01,7.650E-01,0.000E+00,2.912E+00,1.242E-01,9.659E-01,-1.294E+00,7.347E-02,-1.012E+01,3.485E-02,5.660E-01,2.279E-05,2.622E-02,1.216E+00,1.335E-01,9.380E-01,1.242E+00,9.190E-01,1.645E-01,7.586E-01,0,15,1.983E-01,1.795E-01,6.007E-02,7.089E-01,1.847E-01,1.814E-01,0.000E+00,7.117E-01,5.677E-02,1.647E-02,2.531E-02,1.207E-01,6.167E-01,1.520E+00,0.000E+00,1.000E+00,3.379E-01,4.968E-02,5.802E-01,-5.002E-03,1.185E-01,2.987E-01,1.106E-01,7.596E-01,0.000E+00,1.888E+00,1.504E-01,8.866E-01,-1.272E+00,7.021E-02,-8.709E+00,4.847E-02,5.520E-01,8.014E-05,1.280E-02,8.487E-01,2.208E-01,4.016E-01,8.615E-01,5.918E-01,1.566E-01,8.556E-01,1,11,8.723E-01,5.627E-01,1.948E-01,2.511E+00,7.374E-01,5.099E-01,1.681E-01,1.914E+00,NAN,NAN,NAN,NAN,1.214E-26,8.284E-01,0.000E+00,1.000E+00,2.475E-01,4.436E-01,4.511E-01,4.427E-03,8.788E-02,4.425E-01,1.766E-02,1.251E+00,0.000E+00,1.760E+00,1.207E-01,9.972E-01,-1.465E+00,1.404E-01,-6.374E+00,1.330E-01,6.272E-01,1.030E-04,9.230E-02,8.898E-01,2.626E-01,3.700E-01,9.821E-01,4.949E-01,1.693E-01,9.108E-01,0,10,7.255E-01,3.557E-01,5.011E-01,1.772E+00,4.722E+00,7.925E+00,3.765E-01,2.229E+01,NAN,NAN,NAN,NAN,3.692E-02,6.331E-01,0.000E+00,1.000E+00,2.365E-01,5.647E-01,6.841E-01,-1.562E-02,2.406E-01,4.532E-01,2.145E-02,1.162E+00,0.000E+00,2.470E+00,2.440E-01,5.224E-01,-1.651E+00,2.059E-01,-4.784E+00,1.640E-01,5.956E-01,6.467E-04,2.250E-01,1.004E+00,3.162E-01,2.186E-01,1.229E+00,6.206E-01,2.344E-01,5.765E-01
1.000E+00,0.000E+00,5.000E-01,1.000E+00,INF,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,8,8.994E-01,4.769E-01,4.426E-01,1.899E+00,1.542E+00,2.930E+00,0.000E+00,1.068E+01,2.659E-01,7.639E-02,6.849E-02,5.176E-01,9.325E-02,1.790E+00,0.000E+00,1.000E+00,1.680E-01,9.777E-01,2.926E-01,-1.293E-03,2.843E-02,3.480E-01,2.272E-01,4.657E-01,0.000E+00,7.789E+00,2.170E-01,8.456E-01,-1.285E+00,1.007E-01,-2.318E+00,2.885E-01,4.624E-01,4.370E-02,2.714E-02,2.517E+00,3.228E-01,3.056E-01,2.544E+00,2.692E+00,2.742E-01,5.072E-01,0,6,6.446E-01,3.429E-01,3.942E-01,1.338E+00,4.101E-01,5.293E-01,0.000E+00,1.691E+00,1.445E-01,6.942E-02,3.374E-02,5.085E-01,6.238E-01,1.585E+00,0.000E+00,1.000E+00,2.389E-01,8.832E-01,4.282E-01,-2.324E-03,6.277E-02,3.162E-01,4.926E-01,5.649E-01,0.000E+00,3.793E+00,1.881E-01,9.837E-01,-1.422E+00,1.723E-01,-7.489E-01,5.664E-01,4.531E-01,1.206E-01,6.044E-02,1.377E+00,2.878E-01,6.224E-01,1.437E+00,1.348E+00,2.017E-01,9.676E-01,0,4,7.224E-01,3.249E-01,3.866E-01,1.053E+00,2.160E+00,3.223E+00,0.000E+00,9.600E+00,2.172E-01,9.726E-02,2.574E-02,4.912E-01,4.690E-06,7.333E-01,0.000E+00,1.000E+00,2.963E-01,8.739E-01,2.554E+01,-1.769E+01,1.795E+01,2.722E-01,9.283E-01,1.580E+00,0.000E+00,1.480E+00,3.420E-01,6.470E-01,-1.897E+00,4.487E-01,-5.802E-01,6.524E-01,5.304E-01,1.422E-01,2.579E-01,6.969E-01,2.846E-01,9.023E-01,9.548E-01,4.852E-01,2.789E-01,9.147E-01,1,1,5.714E-01,0.000E+00,5.714E-01,5.714E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,NAN,0.000E+00,0.000E+00,1.000E+00,NAN,NAN,3.340E+15,-1.319E+14,1.319E+14,1.000E+00,0.000E+00,1.000E-01,0.000E+00,4.136E-28,1.000E+00,0.000E+00,-INF,INF,INF,NAN,NAN,NAN,1.000E+00,0.000E+00,NAN,NAN,1.000E+00,0.000E+00,NAN,NAN,0,4,4.783E-01,1.459E-02,4.637E-01,4.965E-01,1.501E+00,2.218E+00,0.000E+00,5.143E+00,5.465E-02,4.738E-02,3.265E-03,2.978E-01,2.306E-04,2.271E-01,0.000E+00,1.000E+00,2.387E-01,9.766E-01,4.025E+00,-2.028E-01,9.190E-01,2.929E-01,8.824E-01,1.060E+01,0.000E+00,8.649E-01,7.500E-01,7.813E-03,-4.250E+00,1.625E+00,-2.403E-01,7.371E-01,4.399E-01,3.198E-01,7.162E-01,2.826E-01,2.893E-01,8.914E-01,9.988E-01,2.178E-01,2.651E-01,9.412E-01,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,4,7.059E-01,3.621E-01,4.245E-01,1.313E+00,4.872E+00,6.693E+00,0.000E+00,1.640E+01,1.567E-01,6.423E-02,2.534E-02,3.568E-01,5.093E-05,1.103E+00,0.000E+00,1.000E+00,2.624E-01,9.459E-01,8.352E-01,-1.090E-01,3.298E-01,3.030E-01,8.563E-01,8.021E-01,0.000E+00,3.186E+00,2.900E-01,8.895E-01,-1.703E+00,3.515E-01,-1.624E-01,7.775E-01,4.461E-01,3.032E-01,2.208E-01,1.294E+00,3.344E-01,6.765E-01,1.515E+00,1.230E+00,3.055E-01,8.495E-01,1,6,6.585E-01,3.338E-01,4.129E-01,1.378E+00,3.073E-01,4.424E-01,0.000E+00,1.543E+00,1.506E-01,5.501E-02,3.271E-02,3.629E-01,1.005E-01,2.772E+00,0.000E+00,1.000E+00,3.973E-01,2.307E-01,1.653E-01,1.263E-03,1.083E-18,8.321E-01,4.484E-05,5.495E-01,0.000E+00,2.058E+00,2.823E-01,6.496E-01,-1.179E+00,7.322E-02,-2.298E+00,4.157E-01,7.078E-01,1.511E-03,1.263E-03,9.701E-01,2.502E-01,8.468E-01,9.713E-01,6.659E-01,1.420E-01,9.997E-01
