time,width,loc,scale,stat,pval
75,1.8644E+00,0.0000E+00,1.0000E+00,1.2639E-01,1.5178E-01
76,1.7761E+00,0.0000E+00,1.0000E+00,9.9794E-02,3.0557E-01
77,1.4139E+00,0.0000E+00,1.0000E+00,9.7524E-02,3.1965E-01
78,1.4828E+00,0.0000E+00,1.0000E+00,1.0670E-01,2.0923E-01
79,1.4911E+00,0.0000E+00,1.0000E+00,5.2811E-02,9.4960E-01
80,1.5369E+00,0.0000E+00,1.0000E+00,6.3418E-02,8.3480E-01
81,1.7669E+00,0.0000E+00,1.0000E+00,6.0291E-02,8.8406E-01
82,1.8377E+00,0.0000E+00,1.0000E+00,9.6887E-02,3.0929E-01
83,1.9421E+00,0.0000E+00,1.0000E+00,1.2615E-01,9.1932E-02
84,1.8056E+00,0.0000E+00,1.0000E+00,6.5586E-02,8.8149E-01
85,1.8356E+00,0.0000E+00,1.0000E+00,8.8796E-02,5.0180E-01
86,1.9844E+00,0.0000E+00,1.0000E+00,9.0786E-02,4.3450E-01
87,2.0354E+00,0.0000E+00,1.0000E+00,1.0496E-01,4.3613E-01
88,1.9826E+00,0.0000E+00,1.0000E+00,1.1364E-01,2.6036E-01
89,1.9447E+00,0.0000E+00,1.0000E+00,8.7365E-02,4.4289E-01
90,1.8261E+00,0.0000E+00,1.0000E+00,1.2137E-01,1.1535E-01
91,1.7745E+00,0.0000E+00,1.0000E+00,6.1399E-02,8.8263E-01
92,1.7874E+00,0.0000E+00,1.0000E+00,6.9245E-02,7.8372E-01
93,1.6987E+00,0.0000E+00,1.0000E+00,4.6811E-02,9.8696E-01
94,1.6723E+00,0.0000E+00,1.0000E+00,7.1946E-02,7.2876E-01
95,1.8042E+00,0.0000E+00,1.0000E+00,6.6086E-02,8.0622E-01
96,1.5953E+00,0.0000E+00,1.0000E+00,4.5608E-02,9.9031E-01
97,1.5968E+00,0.0000E+00,1.0000E+00,7.8606E-02,6.0955E-01
98,1.7178E+00,0.0000E+00,1.0000E+00,9.0660E-02,3.9526E-01
99,1.7294E+00,0.0000E+00,1.0000E+00,8.3382E-02,5.2695E-01
100,1.8825E+00,0.0000E+00,1.0000E+00,7.1540E-02,7.4449E-01
101,1.8797E+00,0.0000E+00,1.0000E+00,7.3881E-02,6.9819E-01
102,1.6919E+00,0.0000E+00,1.0000E+00,9.5257E-02,3.3489E-01
103,1.7143E+00,0.0000E+00,1.0000E+00,8.3605E-02,4.7443E-01
104,1.7944E+00,0.0000E+00,1.0000E+00,9.9776E-02,2.6065E-01
105,1.9429E+00,0.0000E+00,1.0000E+00,1.7821E-01,1.1492E-02
106,1.3272E+00,0.0000E+00,1.0000E+00,1.3871E-01,4.3276E-02
107,1.9598E+00,0.0000E+00,1.0000E+00,9.5300E-02,9.0829E-01
108,1.9975E+00,0.0000E+00,1.0000E+00,8.9201E-02,6.4991E-01
109,2.2795E+00,0.0000E+00,1.0000E+00,7.9730E-02,7.3193E-01
110,2.2259E+00,0.0000E+00,1.0000E+00,1.0005E-01,4.1728E-01
111,2.3708E+00,0.0000E+00,1.0000E+00,7.7158E-02,7.8826E-01
112,2.1199E+00,0.0000E+00,1.0000E+00,1.5460E-01,8.0164E-02
113,2.1208E+00,0.0000E+00,1.0000E+00,1.2811E-01,3.8044E-01
114,2.0367E+00,0.0000E+00,1.0000E+00,1.1648E-01,2.9244E-01
115,1.9541E+00,0.0000E+00,1.0000E+00,8.6543E-02,6.4303E-01
116,1.8484E+00,0.0000E+00,1.0000E+00,8.4363E-02,6.1492E-01
117,1.9037E+00,0.0000E+00,1.0000E+00,8.6733E-02,5.6722E-01
118,1.6826E+00,0.0000E+00,1.0000E+00,6.7432E-02,8.0775E-01
119,1.7963E+00,0.0000E+00,1.0000E+00,5.9094E-02,9.2480E-01
120,1.6192E+00,0.0000E+00,1.0000E+00,5.8541E-02,9.0747E-01
121,1.6119E+00,0.0000E+00,1.0000E+00,5.3756E-02,9.4876E-01
122,1.6901E+00,0.0000E+00,1.0000E+00,6.6311E-02,8.0811E-01
123,1.3067E+00,0.0000E+00,1.0000E+00,6.9667E-02,7.6752E-01
124,1.2881E+00,0.0000E+00,1.0000E+00,7.0040E-02,7.5984E-01
125,1.4467E+00,0.0000E+00,1.0000E+00,6.4599E-02,8.3248E-01
126,1.4089E+00,0.0000E+00,1.0000E+00,9.2317E-02,3.8564E-01
127,1.5696E+00,0.0000E+00,1.0000E+00,5.4537E-02,9.4253E-01
128,1.4154E+00,0.0000E+00,1.0000E+00,1.1113E-01,1.9126E-01
129,1.4648E+00,0.0000E+00,1.0000E+00,5.7842E-02,9.1792E-01
130,1.3590E+00,0.0000E+00,1.0000E+00,1.0791E-01,2.0355E-01
131,1.2681E+00,0.0000E+00,1.0000E+00,1.0608E-01,2.1952E-01
132,1.3212E+00,0.0000E+00,1.0000E+00,8.9364E-02,4.0699E-01
133,1.3650E+00,0.0000E+00,1.0000E+00,9.8599E-02,2.8967E-01
134,1.3859E+00,0.0000E+00,1.0000E+00,7.5515E-02,6.3702E-01
135,1.4375E+00,0.0000E+00,1.0000E+00,6.0141E-02,8.7429E-01
136,1.3084E+00,0.0000E+00,1.0000E+00,7.7974E-02,5.9150E-01
137,1.2351E+00,0.0000E+00,1.0000E+00,1.3347E-01,5.9478E-02
138,1.4078E+00,0.0000E+00,1.0000E+00,9.4027E-02,3.5036E-01
139,1.3459E+00,0.0000E+00,1.0000E+00,9.9108E-02,2.9543E-01
140,1.3806E+00,0.0000E+00,1.0000E+00,5.5990E-02,9.2705E-01
141,1.2603E+00,0.0000E+00,1.0000E+00,7.5208E-02,6.5756E-01
142,1.4003E+00,0.0000E+00,1.0000E+00,1.1960E-01,1.2160E-01
143,1.1956E+00,0.0000E+00,1.0000E+00,8.1701E-02,5.5520E-01
144,1.3571E+00,0.0000E+00,1.0000E+00,6.3978E-02,8.2686E-01
145,1.2961E+00,0.0000E+00,1.0000E+00,1.4679E-01,2.8644E-02
146,1.3621E+00,0.0000E+00,1.0000E+00,7.2026E-02,7.1221E-01
147,1.2750E+00,0.0000E+00,1.0000E+00,7.8640E-02,5.8673E-01
148,1.2316E+00,0.0000E+00,1.0000E+00,9.1513E-02,3.8353E-01
149,1.5603E+00,0.0000E+00,1.0000E+00,5.2110E-02,9.5866E-01
150,1.5930E+00,0.0000E+00,1.0000E+00,9.7634E-02,3.1232E-01
151,1.4583E+00,0.0000E+00,1.0000E+00,1.0005E-01,2.8497E-01
152,1.3670E+00,0.0000E+00,1.0000E+00,5.9716E-02,8.9085E-01
153,1.2953E+00,0.0000E+00,1.0000E+00,7.7670E-02,6.0429E-01
154,1.4464E+00,0.0000E+00,1.0000E+00,8.6640E-02,4.6773E-01
155,1.4858E+00,0.0000E+00,1.0000E+00,5.0015E-02,9.7139E-01
156,1.6178E+00,0.0000E+00,1.0000E+00,3.6035E-02,9.9968E-01
157,1.4895E+00,0.0000E+00,1.0000E+00,9.6402E-02,3.1503E-01
158,1.4040E+00,0.0000E+00,1.0000E+00,6.8607E-02,7.8212E-01
159,1.4918E+00,0.0000E+00,1.0000E+00,6.4202E-02,8.2364E-01
160,1.3366E+00,0.0000E+00,1.0000E+00,1.1180E-01,1.6822E-01
161,1.4576E+00,0.0000E+00,1.0000E+00,1.0423E-01,2.3676E-01
162,1.4419E+00,0.0000E+00,1.0000E+00,9.6613E-02,3.1252E-01
163,1.4489E+00,0.0000E+00,1.0000E+00,8.1065E-02,5.4420E-01
164,1.3673E+00,0.0000E+00,1.0000E+00,1.2249E-01,1.0305E-01
165,1.5097E+00,0.0000E+00,1.0000E+00,8.1292E-02,5.4033E-01
166,1.5033E+00,0.0000E+00,1.0000E+00,7.4275E-02,6.6069E-01
167,1.4123E+00,0.0000E+00,1.0000E+00,7.5110E-02,6.5944E-01
168,1.3795E+00,0.0000E+00,1.0000E+00,1.2962E-01,7.2511E-02
169,1.5324E+00,0.0000E+00,1.0000E+00,1.0218E-01,2.7359E-01
170,1.3024E+00,0.0000E+00,1.0000E+00,8.5714E-02,4.6815E-01
171,1.3296E+00,0.0000E+00,1.0000E+00,1.1718E-01,1.3588E-01
172,1.3823E+00,0.0000E+00,1.0000E+00,1.0870E-01,1.9686E-01
173,1.2982E+00,0.0000E+00,1.0000E+00,6.7496E-02,7.7972E-01
174,1.8473E+00,0.0000E+00,1.0000E+00,9.9658E-02,3.2601E-01
175,1.5513E+00,0.0000E+00,1.0000E+00,8.4128E-02,4.8633E-01
176,1.3032E+00,0.0000E+00,1.0000E+00,7.2907E-02,7.1727E-01
177,1.4041E+00,0.0000E+00,1.0000E+00,1.1865E-01,1.2706E-01
178,1.3593E+00,0.0000E+00,1.0000E+00,1.6781E-01,8.7855E-03
