time,width,loc,scale,stat,pval
75,2.4690E+00,0.0000E+00,1.0000E+00,1.6572E-01,1.8794E-01
76,2.5200E+00,0.0000E+00,1.0000E+00,2.3853E-01,3.8791E-03
77,2.4560E+00,0.0000E+00,1.0000E+00,1.6009E-01,1.8805E-01
78,2.5210E+00,0.0000E+00,1.0000E+00,2.0473E-01,2.5805E-02
79,2.5102E+00,0.0000E+00,1.0000E+00,2.1133E-01,1.9436E-02
80,2.4923E+00,0.0000E+00,1.0000E+00,2.1747E-01,1.1119E-02
81,2.6366E+00,0.0000E+00,1.0000E+00,2.7079E-01,1.5539E-03
82,2.4942E+00,0.0000E+00,1.0000E+00,1.8917E-01,2.9287E-02
83,2.5014E+00,0.0000E+00,1.0000E+00,1.8421E-01,6.7353E-02
84,2.4149E+00,0.0000E+00,1.0000E+00,2.1018E-01,7.0031E-03
85,2.5032E+00,0.0000E+00,1.0000E+00,1.7883E-01,7.6606E-02
86,2.6449E+00,0.0000E+00,1.0000E+00,2.6012E-01,1.3617E-03
87,2.4900E+00,0.0000E+00,1.0000E+00,2.2646E-01,9.8018E-03
88,2.5579E+00,0.0000E+00,1.0000E+00,2.0813E-01,3.4587E-02
89,2.4536E+00,0.0000E+00,1.0000E+00,2.1387E-01,6.8996E-03
90,2.4032E+00,0.0000E+00,1.0000E+00,2.2796E-01,2.8726E-03
91,2.5311E+00,0.0000E+00,1.0000E+00,1.4233E-01,2.9391E-01
92,2.4335E+00,0.0000E+00,1.0000E+00,1.7202E-01,6.8178E-02
93,2.4738E+00,0.0000E+00,1.0000E+00,1.4990E-01,1.9982E-01
94,2.6464E+00,0.0000E+00,1.0000E+00,2.3108E-01,8.7773E-03
95,2.4698E+00,0.0000E+00,1.0000E+00,1.6580E-01,1.2732E-01
96,2.3803E+00,0.0000E+00,1.0000E+00,1.7798E-01,7.4098E-02
97,2.6056E+00,0.0000E+00,1.0000E+00,2.6839E-01,8.4830E-04
98,2.5778E+00,0.0000E+00,1.0000E+00,2.9536E-01,3.9085E-05
99,2.4492E+00,0.0000E+00,1.0000E+00,1.9793E-01,3.1622E-02
100,2.5796E+00,0.0000E+00,1.0000E+00,2.2532E-01,6.1862E-03
101,2.3996E+00,0.0000E+00,1.0000E+00,2.2763E-01,4.0107E-03
102,2.4991E+00,0.0000E+00,1.0000E+00,1.7843E-01,8.8354E-02
103,2.4678E+00,0.0000E+00,1.0000E+00,1.9972E-01,2.3045E-02
104,2.5307E+00,0.0000E+00,1.0000E+00,2.6240E-01,3.9091E-04
105,2.5296E+00,0.0000E+00,1.0000E+00,2.2209E-01,8.0580E-03
106,2.5320E+00,0.0000E+00,1.0000E+00,2.2230E-01,1.1892E-02
107,2.6209E+00,0.0000E+00,1.0000E+00,2.3791E-01,7.1121E-03
108,2.4122E+00,0.0000E+00,1.0000E+00,2.8275E-01,3.6740E-05
109,2.4226E+00,0.0000E+00,1.0000E+00,2.4135E-01,1.4636E-03
110,2.4916E+00,0.0000E+00,1.0000E+00,2.0287E-01,2.3635E-02
111,2.6069E+00,0.0000E+00,1.0000E+00,1.8855E-01,8.2128E-02
112,2.5497E+00,0.0000E+00,1.0000E+00,2.4111E-01,6.8669E-03
113,2.5901E+00,0.0000E+00,1.0000E+00,2.6717E-01,1.0525E-03
114,2.6197E+00,0.0000E+00,1.0000E+00,2.4070E-01,3.0780E-03
115,2.5788E+00,0.0000E+00,1.0000E+00,1.8199E-01,9.5319E-02
116,2.4275E+00,0.0000E+00,1.0000E+00,1.2717E-01,4.1571E-01
117,2.3975E+00,0.0000E+00,1.0000E+00,1.5862E-01,7.1315E-02
118,2.6148E+00,0.0000E+00,1.0000E+00,2.9800E-01,2.3591E-04
119,2.4729E+00,0.0000E+00,1.0000E+00,1.8713E-01,6.9680E-02
120,2.3981E+00,0.0000E+00,1.0000E+00,2.0065E-01,1.5973E-02
121,2.5675E+00,0.0000E+00,1.0000E+00,2.2426E-01,1.4741E-02
122,2.5180E+00,0.0000E+00,1.0000E+00,2.1982E-01,1.2079E-02
123,2.3076E+00,0.0000E+00,1.0000E+00,1.3010E-01,4.2853E-01
124,2.4574E+00,0.0000E+00,1.0000E+00,1.2461E-01,4.4190E-01
125,2.4234E+00,0.0000E+00,1.0000E+00,1.9543E-01,2.5770E-02
126,2.5068E+00,0.0000E+00,1.0000E+00,2.0340E-01,1.5206E-02
127,2.4588E+00,0.0000E+00,1.0000E+00,2.1435E-01,1.2884E-02
128,2.4242E+00,0.0000E+00,1.0000E+00,2.5337E-01,2.2560E-03
129,2.4412E+00,0.0000E+00,1.0000E+00,2.1270E-01,2.4088E-02
130,2.3545E+00,0.0000E+00,1.0000E+00,1.3117E-01,3.6403E-01
131,2.4664E+00,0.0000E+00,1.0000E+00,1.7526E-01,6.3859E-02
132,2.4574E+00,0.0000E+00,1.0000E+00,1.8562E-01,6.3949E-02
133,2.5246E+00,0.0000E+00,1.0000E+00,2.3894E-01,3.7969E-03
134,2.4747E+00,0.0000E+00,1.0000E+00,2.3452E-01,4.7769E-03
