time,width,loc,scale,stat,pval
75,1.9012E+00,0.0000E+00,1.0000E+00,4.3618E-02,8.6054E-01
76,1.8546E+00,0.0000E+00,1.0000E+00,6.2662E-02,4.2152E-01
77,1.8067E+00,0.0000E+00,1.0000E+00,4.6076E-02,8.1717E-01
78,1.7841E+00,0.0000E+00,1.0000E+00,6.9919E-02,3.2215E-01
79,1.9768E+00,0.0000E+00,1.0000E+00,7.0422E-02,2.8989E-01
80,1.6220E+00,0.0000E+00,1.0000E+00,6.5629E-02,4.5445E-01
81,1.8248E+00,0.0000E+00,1.0000E+00,3.6471E-02,9.6882E-01
82,1.7980E+00,0.0000E+00,1.0000E+00,5.8427E-02,5.3687E-01
83,1.8170E+00,0.0000E+00,1.0000E+00,4.5482E-02,8.3156E-01
84,1.9072E+00,0.0000E+00,1.0000E+00,4.9104E-02,7.4356E-01
85,1.7951E+00,0.0000E+00,1.0000E+00,7.0544E-02,2.8798E-01
86,1.8214E+00,0.0000E+00,1.0000E+00,7.1837E-02,2.6551E-01
87,1.8263E+00,0.0000E+00,1.0000E+00,6.1169E-02,4.8117E-01
88,1.9094E+00,0.0000E+00,1.0000E+00,6.1308E-02,4.7810E-01
89,2.1160E+00,0.0000E+00,1.0000E+00,4.7283E-02,8.0789E-01
90,1.8753E+00,0.0000E+00,1.0000E+00,5.0710E-02,7.6266E-01
91,2.1400E+00,0.0000E+00,1.0000E+00,5.7612E-02,5.9869E-01
92,1.9744E+00,0.0000E+00,1.0000E+00,4.9855E-02,7.7414E-01
