time,width,loc,scale,stat,pval
204,1.938585191346042,0.008155254171669542,0.9629271490048124,0.08294122281081734,0.2469586644811346
205,2.120817259502485,0.011686992649343392,0.9341619070738594,0.09240294107993974,0.20067847351253076
206,2.1387444550623833,0.01803105936971036,0.8929286101049775,0.0530635950419126,0.7854603857456981
207,2.338685995567718,0.016942225686499154,0.8517249983407782,0.061386386659602665,0.6490210271220429
208,1.9514757348968441,0.004463772568774204,0.9746247997687603,0.032074310887157065,0.9980554704154903
209,1.9626099089066034,0.0050365194210973616,0.9742993446238412,0.08613861351290619,0.2435766842349162
210,2.169252702317387,0.006248401651961869,0.9511291721424564,0.07112935304828466,0.5334181934546429
211,2.545478438113566,0.010719714269107637,0.857501334166042,0.07141519482101878,0.45754302411286657
212,1.9897708541985963,0.002488466608274946,0.9848416688089361,0.05229653759071695,0.9007860210519079
213,1.7936814044761697,0.0016075734871479792,0.9924632172563144,0.0437538409134669,0.9228396388440044
214,1.9075742560245723,0.005630772791268139,0.9724670825905124,0.06395837434188818,0.5856314596519084
215,1.9781531188266537,0.015375765476178836,0.916355037953166,0.06555552529862937,0.4678503733433988
216,1.9074642363786363,0.00766964823568853,0.9594088913814408,0.08050843179151473,0.2541311808268544
217,1.9687793892012473,0.0021234230477501863,0.9858926575023503,0.04021263221807875,0.97135293841604
218,1.9708258853852119,0.005299152587408899,0.9690488108421031,0.042213580831458875,0.9423772206627548
219,1.850226825412209,0.0011670058997271626,0.9936989708195432,0.03415648482435744,0.9948010627165477
220,2.009120758289252,0.003495351816056858,0.9757398078695971,0.05157449183845958,0.7946697149194512
221,2.119725817220054,0.007823938787054313,0.946440180072839,0.05813987142648924,0.7523680909378871
222,1.9530396751639825,0.005214653006377072,0.970762970615415,0.05475497386581052,0.7131492657602496
223,2.2825623737084015,0.009857543885263683,0.9183213336930638,0.03508528787779425,0.9871969766572977
224,1.9304955738762646,-0.00026256323547478274,1.001906765008522,0.06166526286838825,0.5475999830759326
225,2.05076172469861,0.00514319287650538,0.9652109569959613,0.051348748402241906,0.7927622054475401
226,2.0225853458693477,0.0059708931616514116,0.9649802430575871,0.051210619649022515,0.8140787915113655
227,1.9358967128959046,0.012029459625751367,0.9424907348220837,0.04216204108883792,0.9230919540967686
