time,width,loc,scale,stat,pval
75,1.5879E+00,0.0000E+00,1.0000E+00,9.7845E-02,3.9011E-01
76,1.5859E+00,0.0000E+00,1.0000E+00,1.1210E-01,2.1361E-01
77,1.8048E+00,0.0000E+00,1.0000E+00,1.5722E-01,3.0882E-02
78,1.8576E+00,0.0000E+00,1.0000E+00,1.0290E-01,3.1539E-01
79,2.1837E+00,0.0000E+00,1.0000E+00,9.6181E-02,3.8952E-01
80,2.0136E+00,0.0000E+00,1.0000E+00,1.1657E-01,1.8347E-01
81,1.9145E+00,0.0000E+00,1.0000E+00,1.3031E-01,1.0186E-01
82,1.8347E+00,0.0000E+00,1.0000E+00,1.2347E-01,1.3766E-01
83,1.7899E+00,0.0000E+00,1.0000E+00,9.3369E-02,4.2733E-01
84,1.8176E+00,0.0000E+00,1.0000E+00,9.8267E-02,3.5606E-01
85,1.8028E+00,0.0000E+00,1.0000E+00,6.4567E-02,8.6591E-01
86,1.8121E+00,0.0000E+00,1.0000E+00,6.0278E-02,9.1350E-01
87,1.8486E+00,0.0000E+00,1.0000E+00,5.7086E-02,9.4198E-01
88,1.9557E+00,0.0000E+00,1.0000E+00,4.6805E-02,9.9113E-01
89,1.7675E+00,0.0000E+00,1.0000E+00,6.4259E-02,8.7413E-01
90,1.7373E+00,0.0000E+00,1.0000E+00,6.1174E-02,9.0066E-01
91,1.8195E+00,0.0000E+00,1.0000E+00,7.0529E-02,7.7975E-01
92,1.6753E+00,0.0000E+00,1.0000E+00,8.5173E-02,5.9273E-01
93,1.6758E+00,0.0000E+00,1.0000E+00,7.2242E-02,7.5372E-01
94,1.6373E+00,0.0000E+00,1.0000E+00,8.3605E-02,5.4573E-01
95,1.6450E+00,0.0000E+00,1.0000E+00,6.3171E-02,8.7823E-01
96,1.4545E+00,0.0000E+00,1.0000E+00,7.0520E-02,7.8583E-01
97,1.4714E+00,0.0000E+00,1.0000E+00,1.0553E-01,2.5112E-01
98,1.6287E+00,0.0000E+00,1.0000E+00,7.3661E-02,7.8312E-01
99,1.5563E+00,0.0000E+00,1.0000E+00,8.7263E-02,4.7239E-01
100,1.6103E+00,0.0000E+00,1.0000E+00,9.9771E-02,2.9978E-01
101,1.7735E+00,0.0000E+00,1.0000E+00,9.4145E-02,4.5535E-01
102,1.9120E+00,0.0000E+00,1.0000E+00,8.3757E-02,6.8016E-01
103,1.6149E+00,0.0000E+00,1.0000E+00,6.7495E-02,8.5936E-01
104,1.5684E+00,0.0000E+00,1.0000E+00,8.4390E-02,5.6406E-01
105,2.0343E+00,0.0000E+00,1.0000E+00,1.2884E-01,1.8543E-01
106,1.9537E+00,0.0000E+00,1.0000E+00,1.0065E-01,4.2660E-01
107,1.9961E+00,0.0000E+00,1.0000E+00,3.8479E-02,9.9969E-01
108,1.7398E+00,0.0000E+00,1.0000E+00,5.9789E-02,9.3729E-01
109,1.5122E+00,0.0000E+00,1.0000E+00,1.0515E-01,2.7234E-01
110,1.6484E+00,0.0000E+00,1.0000E+00,7.5629E-02,7.2012E-01
111,1.7570E+00,0.0000E+00,1.0000E+00,8.3559E-02,5.7794E-01
112,1.8679E+00,0.0000E+00,1.0000E+00,7.7151E-02,6.9979E-01
113,1.9293E+00,0.0000E+00,1.0000E+00,6.5826E-02,8.6467E-01
114,2.2047E+00,0.0000E+00,1.0000E+00,9.5565E-02,4.1243E-01
115,1.7168E+00,0.0000E+00,1.0000E+00,8.6612E-02,6.0444E-01
116,1.6722E+00,0.0000E+00,1.0000E+00,7.5208E-02,7.2814E-01
117,1.7879E+00,0.0000E+00,1.0000E+00,7.4692E-02,7.1371E-01
118,1.8034E+00,0.0000E+00,1.0000E+00,8.4118E-02,6.2790E-01
119,1.8431E+00,0.0000E+00,1.0000E+00,8.5358E-02,6.6271E-01
120,1.7986E+00,0.0000E+00,1.0000E+00,7.3990E-02,7.4341E-01
121,1.7458E+00,0.0000E+00,1.0000E+00,9.4407E-02,4.1309E-01
122,1.4503E+00,0.0000E+00,1.0000E+00,1.0945E-01,2.4257E-01
123,1.6057E+00,0.0000E+00,1.0000E+00,5.1668E-02,9.7290E-01
124,1.4728E+00,0.0000E+00,1.0000E+00,5.8811E-02,9.2110E-01
125,1.4533E+00,0.0000E+00,1.0000E+00,4.9827E-02,9.8216E-01
126,1.4632E+00,0.0000E+00,1.0000E+00,8.0875E-02,6.0796E-01
127,1.6221E+00,0.0000E+00,1.0000E+00,8.0516E-02,6.3868E-01
128,1.6608E+00,0.0000E+00,1.0000E+00,6.0365E-02,9.1610E-01
129,1.5626E+00,0.0000E+00,1.0000E+00,4.6245E-02,9.9286E-01
130,1.5572E+00,0.0000E+00,1.0000E+00,4.9517E-02,9.8329E-01
131,1.6088E+00,0.0000E+00,1.0000E+00,9.8778E-02,3.4983E-01
132,1.9677E+00,0.0000E+00,1.0000E+00,7.7321E-02,6.4835E-01
133,1.8521E+00,0.0000E+00,1.0000E+00,8.9586E-02,4.4473E-01
134,1.7548E+00,0.0000E+00,1.0000E+00,6.1134E-02,8.8964E-01
135,1.7947E+00,0.0000E+00,1.0000E+00,6.0530E-02,8.9645E-01
136,1.6864E+00,0.0000E+00,1.0000E+00,6.8635E-02,8.0146E-01
137,1.5439E+00,0.0000E+00,1.0000E+00,8.9648E-02,4.5836E-01
138,1.7384E+00,0.0000E+00,1.0000E+00,6.7885E-02,8.7494E-01
139,1.6385E+00,0.0000E+00,1.0000E+00,6.1736E-02,8.9845E-01
140,1.4343E+00,0.0000E+00,1.0000E+00,5.4941E-02,9.5324E-01
141,1.4424E+00,0.0000E+00,1.0000E+00,9.1455E-02,4.4687E-01
142,1.4992E+00,0.0000E+00,1.0000E+00,7.5778E-02,7.2559E-01
143,1.5804E+00,0.0000E+00,1.0000E+00,7.2738E-02,7.5181E-01
144,1.6932E+00,0.0000E+00,1.0000E+00,6.0699E-02,9.1634E-01
145,1.7971E+00,0.0000E+00,1.0000E+00,6.0138E-02,9.0792E-01
146,1.7931E+00,0.0000E+00,1.0000E+00,9.9556E-02,3.2720E-01
147,1.6537E+00,0.0000E+00,1.0000E+00,1.0355E-01,3.0162E-01
148,1.6034E+00,0.0000E+00,1.0000E+00,6.4609E-02,8.7450E-01
149,1.5692E+00,0.0000E+00,1.0000E+00,4.9818E-02,9.8426E-01
150,1.5751E+00,0.0000E+00,1.0000E+00,7.9771E-02,6.4369E-01
151,1.6614E+00,0.0000E+00,1.0000E+00,4.4187E-02,9.9636E-01
152,1.8295E+00,0.0000E+00,1.0000E+00,7.9041E-02,6.0931E-01
153,1.9879E+00,0.0000E+00,1.0000E+00,1.1855E-01,2.1812E-01
154,1.9524E+00,0.0000E+00,1.0000E+00,7.2491E-02,7.3318E-01
155,1.7565E+00,0.0000E+00,1.0000E+00,2.1499E-01,8.3247E-04
156,2.9082E+00,0.0000E+00,1.0000E+00,3.1679E-01,4.3625E-03
157,2.6126E+00,0.0000E+00,1.0000E+00,1.6215E-01,4.1285E-01
