time,width,loc,scale,stat,pval
75,1.7247E+00,3.0070E-02,8.9974E-01,8.6711E-02,5.5073E-01
76,1.7262E+00,2.5606E-02,9.0772E-01,1.1384E-01,1.9936E-01
77,8.6019E+00,5.9645E-02,2.1415E+00,3.5002E-01,1.7417E-09
78,6.6396E+00,7.0300E-02,2.5995E+00,3.1905E-01,4.1854E-08
79,2.1313E+00,-1.5391E-03,1.0203E+00,8.0188E-02,6.3625E-01
80,2.0113E+00,2.0264E-04,9.9834E-01,9.1483E-02,4.5403E-01
81,1.9012E+00,1.6125E-03,9.9032E-01,8.3256E-02,5.8304E-01
82,1.8683E+00,6.4618E-03,9.6733E-01,8.9721E-02,4.7995E-01
83,1.8765E+00,1.3107E-02,9.3916E-01,7.3904E-02,7.5327E-01
84,1.9667E+00,1.9675E-02,9.0102E-01,7.5078E-02,7.2242E-01
85,1.9668E+00,2.3459E-02,8.8999E-01,4.8433E-02,9.8768E-01
86,1.8942E+00,1.2160E-02,9.4425E-01,5.5628E-02,9.5287E-01
87,1.8789E+00,3.6430E-03,9.8071E-01,5.7262E-02,9.4058E-01
88,1.9216E+00,-2.2340E-03,1.0168E+00,4.8669E-02,9.8613E-01
89,2.0506E+00,3.7010E-02,8.2572E-01,5.3246E-02,9.6947E-01
90,1.8583E+00,1.8471E-02,9.2021E-01,5.4404E-02,9.5898E-01
91,1.8611E+00,5.0098E-03,9.7347E-01,6.0644E-02,9.0624E-01
92,1.8115E+00,3.1255E-02,8.9126E-01,6.0070E-02,9.3501E-01
93,1.8998E+00,3.0400E-02,8.6582E-01,8.2816E-02,5.5893E-01
94,1.7810E+00,2.1876E-02,9.1062E-01,8.9581E-02,4.5203E-01
95,1.8307E+00,3.5573E-02,8.7266E-01,5.3675E-02,9.6353E-01
96,1.5307E+00,1.9960E-02,9.4447E-01,6.3188E-02,8.8228E-01
97,1.4174E+00,-1.1018E-02,1.0328E+00,7.1615E-02,7.5841E-01
98,1.8064E+00,3.4044E-02,8.7809E-01,6.9919E-02,8.1760E-01
99,1.6778E+00,2.8260E-02,9.0823E-01,6.9937E-02,7.8469E-01
100,1.6818E+00,1.3559E-02,9.5202E-01,9.3700E-02,3.7377E-01
101,1.2697E+01,6.7223E-02,4.6273E+00,4.0587E-01,2.0193E-12
102,1.3289E+01,6.3459E-02,4.3835E+00,4.0017E-01,4.6072E-11
103,1.7872E+00,3.1931E-02,8.8580E-01,6.3826E-02,9.0034E-01
104,1.6838E+00,2.0499E-02,9.2600E-01,9.9105E-02,3.5275E-01
105,6.0536E+00,7.8652E-02,3.5282E+00,3.2336E-01,6.3807E-07
106,1.6808E+01,7.4406E-02,1.6540E+01,4.4151E-01,1.7698E-13
107,2.2441E+00,1.9150E-02,8.6370E-01,5.5105E-02,9.6263E-01
108,6.1847E+00,5.9899E-02,1.0565E-01,3.7061E-01,2.2858E-10
109,1.5823E+00,1.7035E-02,9.4742E-01,8.4315E-02,5.4944E-01
110,1.8082E+00,2.2658E-02,9.0292E-01,6.9877E-02,8.0089E-01
111,1.7669E+00,1.3279E-03,9.9336E-01,7.4511E-02,7.4153E-01
112,1.7646E+00,-7.0575E-03,1.0475E+00,5.8630E-02,9.3495E-01
113,1.8575E+00,-4.4630E-03,1.0339E+00,6.0852E-02,9.1834E-01
114,2.1039E+00,-2.5821E-03,1.0414E+00,7.4618E-02,7.5614E-01
115,2.0272E+00,5.3687E-02,7.9105E-01,6.7573E-02,8.7839E-01
116,2.1405E+00,4.4039E-02,7.5912E-01,1.3367E-01,8.7340E-02
117,2.0490E+00,2.5045E-02,8.5721E-01,1.0356E-01,2.8268E-01
118,8.4045E+00,6.9063E-02,4.6846E-02,4.2867E-01,1.5627E-13
119,6.6986E+00,7.4535E-02,3.1565E-01,2.8875E-01,8.2599E-06
120,1.0870E+01,6.5371E-02,5.6124E+00,4.1445E-01,6.9149E-14
121,2.1066E+00,4.1621E-02,7.9327E-01,7.4586E-02,7.4008E-01
122,1.5554E+00,4.1230E-02,8.9148E-01,7.6877E-02,6.9661E-01
123,1.7500E+00,2.5241E-02,9.0603E-01,6.8691E-02,8.0066E-01
124,1.5444E+00,1.7156E-02,9.4943E-01,5.0547E-02,9.7811E-01
125,1.6242E+00,3.7680E-02,8.8397E-01,6.1491E-02,8.9725E-01
126,1.5249E+00,1.6471E-02,9.5246E-01,6.0869E-02,9.0390E-01
127,1.7717E+00,2.5189E-02,9.0192E-01,7.1035E-02,7.9039E-01
128,1.8651E+00,3.3548E-02,8.6719E-01,5.8692E-02,9.3146E-01
129,1.6644E+00,1.8767E-02,9.3375E-01,6.2148E-02,8.9398E-01
130,1.6318E+00,1.4014E-02,9.5138E-01,4.8844E-02,9.8557E-01
131,1.7310E+00,2.3366E-02,9.1466E-01,8.0154E-02,6.2871E-01
132,1.7824E+00,-9.2871E-03,1.0792E+00,6.4104E-02,8.5332E-01
133,1.7586E+00,-6.8650E-03,1.0437E+00,6.9979E-02,7.9154E-01
134,1.7875E+00,4.0622E-03,9.8068E-01,5.0127E-02,9.7747E-01
135,1.7731E+00,-2.2294E-03,1.0117E+00,5.5109E-02,9.4746E-01
136,1.9818E+00,3.9622E-02,8.2372E-01,9.3937E-02,3.9782E-01
137,1.6415E+00,2.0597E-02,9.3155E-01,7.6700E-02,6.7562E-01
138,2.1232E+00,3.8905E-02,7.8973E-01,1.1159E-01,2.7976E-01
139,1.8023E+00,2.3183E-02,9.0089E-01,7.0085E-02,7.9210E-01
140,1.4581E+00,6.0259E-03,9.8307E-01,5.1796E-02,9.7226E-01
141,1.4981E+00,1.4704E-02,9.5926E-01,8.5646E-02,5.3555E-01
142,1.5614E+00,1.4306E-02,9.5616E-01,7.0379E-02,7.9967E-01
143,1.6982E+00,2.4579E-02,9.1667E-01,8.3451E-02,5.5598E-01
144,1.9421E+00,3.1393E-02,8.5381E-01,7.9951E-02,6.4873E-01
145,1.8316E+00,3.7519E-03,9.8032E-01,6.1659E-02,8.9151E-01
146,1.7915E+00,-1.6690E-04,1.0008E+00,9.5578E-02,3.7619E-01
147,1.8760E+00,3.3435E-02,8.6168E-01,1.1470E-01,1.9779E-01
148,1.7252E+00,2.1411E-02,9.2052E-01,6.6463E-02,8.5195E-01
149,1.6778E+00,2.2560E-02,9.2434E-01,4.8669E-02,9.8781E-01
150,1.6917E+00,2.1859E-02,9.2256E-01,5.8694E-02,9.3144E-01
151,1.8852E+00,3.0928E-02,8.6573E-01,6.2234E-02,8.9700E-01
152,1.9921E+00,1.6801E-02,9.0542E-01,8.1095E-02,5.7310E-01
153,9.7993E+00,7.9945E-02,5.3910E+00,3.6985E-01,7.7964E-10
154,2.2743E+00,4.2940E-02,7.8853E-01,7.4010E-02,7.0337E-01
155,1.1527E+01,1.6365E-01,9.0190E-01,3.4148E-01,4.8712E-09
156,3.1107E+00,7.5710E-02,2.4860E-02,3.4671E-01,1.2814E-03
157,1.0821E+01,5.2182E-02,8.5726E-01,3.0659E-01,7.8115E-03
158,7.3013E+00,4.7878E-02,2.5527E+00,3.0412E-01,2.2752E-03
159,7.5446E+00,5.3050E-02,4.4617E-01,2.4254E-01,1.3132E-02
160,6.2301E+00,3.1220E-02,3.5822E-02,4.6828E-01,3.6319E-09
161,2.0090E+00,2.2270E-02,8.9199E-01,5.4638E-02,9.9930E-01
162,6.9277E+00,2.9512E-02,7.4617E-01,2.7710E-01,6.9250E-04
163,1.6392E+00,4.3255E-03,9.8434E-01,9.7869E-02,7.7806E-01
164,1.8342E+00,8.5821E-03,9.5763E-01,9.2997E-02,8.2116E-01
165,2.0849E+00,2.4040E-02,8.7289E-01,7.8112E-02,9.2601E-01
166,6.8514E+00,2.5670E-02,1.8593E-01,3.6882E-01,1.3121E-06
167,2.1522E+00,2.4702E-02,8.6014E-01,1.0189E-01,6.7712E-01
168,5.9486E+00,4.8501E-02,9.3390E-02,3.9385E-01,6.0717E-07
169,1.5558E+01,4.3445E-02,7.2180E+00,4.3399E-01,6.5805E-09
170,2.0920E+00,9.8867E-03,9.2624E-01,7.9103E-02,9.0087E-01
171,1.6479E+00,7.7015E-03,9.7281E-01,6.3603E-02,9.8884E-01
172,1.7120E+00,1.1036E-02,9.5708E-01,9.6980E-02,7.3357E-01
173,1.7821E+00,-8.3342E-03,1.0551E+00,1.1542E-01,4.6412E-01
174,2.0539E+00,1.4608E-02,8.9485E-01,1.3998E-01,2.3730E-01
175,4.8711E+00,2.9389E-02,2.3142E-02,4.8081E-01,1.3996E-11
176,1.6983E+00,1.7149E-02,9.3427E-01,1.1143E-01,5.6498E-01
177,2.0134E+00,3.3635E-02,8.3160E-01,1.0576E-01,3.0455E-01
178,1.7957E+00,2.0784E-03,9.8852E-01,1.3472E-01,2.9782E-01
179,1.5368E+00,-1.5702E-03,1.0052E+00,1.2715E-01,3.7731E-01
180,1.6112E+00,-1.5703E-03,1.0060E+00,8.4500E-02,8.6757E-01
181,1.6807E+00,-7.7327E-05,1.0003E+00,8.0852E-02,8.9938E-01
182,1.8044E+00,3.4969E-02,8.7517E-01,8.3595E-02,8.9061E-01
183,1.7920E+00,3.6658E-02,8.7460E-01,8.6009E-02,8.6968E-01
184,1.8893E+00,1.7207E-02,9.1869E-01,1.0988E-01,5.8445E-01
185,1.9325E+00,2.1508E-02,9.0261E-01,5.6709E-02,9.9617E-01
186,1.0541E+01,3.7797E-02,5.3340E+00,3.9137E-01,7.3743E-07
187,1.8159E+00,8.1747E-03,9.6584E-01,8.4765E-02,8.4904E-01
188,1.7899E+00,2.6568E-02,9.0287E-01,5.7486E-02,9.9539E-01
189,1.7307E+00,2.5813E-02,9.1064E-01,6.9621E-02,9.6866E-01
190,1.8676E+00,1.2638E-02,9.3408E-01,8.2797E-02,8.6816E-01
191,1.3673E+00,-7.8588E-03,1.0206E+00,9.2196E-02,7.9914E-01
192,1.5630E+00,-1.3269E-02,1.0536E+00,9.7683E-02,7.2327E-01
193,1.7083E+00,5.5101E-04,9.9749E-01,8.1145E-02,8.9022E-01
194,1.6326E+00,4.0606E-03,9.8484E-01,8.9226E-02,8.1154E-01
