time,width,loc,scale,stat,pval
75,1.4370E+00,0.0000E+00,1.0000E+00,5.6648E-02,5.4770E-01
76,1.8452E+00,0.0000E+00,1.0000E+00,1.0031E-01,4.3250E-02
77,1.8983E+00,0.0000E+00,1.0000E+00,1.0072E-01,4.0250E-02
78,1.5137E+00,0.0000E+00,1.0000E+00,4.5504E-02,8.1906E-01
79,1.6210E+00,0.0000E+00,1.0000E+00,8.8576E-02,8.5510E-02
80,1.5638E+00,0.0000E+00,1.0000E+00,8.5276E-02,1.1229E-01
81,1.3463E+00,0.0000E+00,1.0000E+00,5.1961E-02,6.8915E-01
82,1.8249E+00,0.0000E+00,1.0000E+00,8.2450E-02,1.5083E-01
83,1.4402E+00,0.0000E+00,1.0000E+00,9.0713E-02,7.1014E-02
84,1.5505E+00,0.0000E+00,1.0000E+00,1.0952E-01,1.5970E-02
85,1.4317E+00,0.0000E+00,1.0000E+00,5.2555E-02,6.4363E-01
86,1.4150E+00,0.0000E+00,1.0000E+00,8.7471E-02,9.2404E-02
87,1.3444E+00,0.0000E+00,1.0000E+00,6.1310E-02,4.5012E-01
88,1.4288E+00,0.0000E+00,1.0000E+00,9.5881E-02,5.1844E-02
89,1.5188E+00,0.0000E+00,1.0000E+00,5.2194E-02,6.5712E-01
90,1.3759E+00,0.0000E+00,1.0000E+00,9.2077E-02,6.4233E-02
91,1.5998E+00,0.0000E+00,1.0000E+00,6.4299E-02,3.8221E-01
92,2.1359E+00,0.0000E+00,1.0000E+00,1.5181E-01,6.0320E-04
93,1.7008E+00,0.0000E+00,1.0000E+00,8.2095E-02,1.3655E-01
94,1.5190E+00,0.0000E+00,1.0000E+00,9.1902E-02,6.8460E-02
95,1.4326E+00,0.0000E+00,1.0000E+00,7.5655E-02,2.0163E-01
96,1.5171E+00,0.0000E+00,1.0000E+00,7.6096E-02,2.0094E-01
97,1.4318E+00,0.0000E+00,1.0000E+00,5.6877E-02,5.3508E-01
98,1.5953E+00,0.0000E+00,1.0000E+00,8.4711E-02,1.0852E-01
99,1.5610E+00,0.0000E+00,1.0000E+00,9.7500E-02,4.3274E-02
100,1.4325E+00,0.0000E+00,1.0000E+00,8.1864E-02,1.3136E-01
101,1.4920E+00,0.0000E+00,1.0000E+00,6.7776E-02,3.0724E-01
102,1.4856E+00,0.0000E+00,1.0000E+00,8.9512E-02,8.0011E-02
103,1.3851E+00,0.0000E+00,1.0000E+00,6.9871E-02,2.8164E-01
104,1.4368E+00,0.0000E+00,1.0000E+00,8.2231E-02,1.3907E-01
105,1.5122E+00,0.0000E+00,1.0000E+00,8.7064E-02,1.0734E-01
106,1.5933E+00,0.0000E+00,1.0000E+00,8.9919E-02,7.7713E-02
107,1.3470E+00,0.0000E+00,1.0000E+00,5.3126E-02,6.4977E-01
108,1.5411E+00,0.0000E+00,1.0000E+00,7.3411E-02,2.3529E-01
109,1.3726E+00,0.0000E+00,1.0000E+00,5.1323E-02,6.8140E-01
110,1.4931E+00,0.0000E+00,1.0000E+00,9.2373E-02,6.3917E-02
111,1.4754E+00,0.0000E+00,1.0000E+00,6.5065E-02,3.5829E-01
112,1.4604E+00,0.0000E+00,1.0000E+00,7.7206E-02,1.7706E-01
113,1.6069E+00,0.0000E+00,1.0000E+00,1.1818E-01,9.3211E-03
114,1.3398E+00,0.0000E+00,1.0000E+00,7.1305E-02,2.5725E-01
115,1.5641E+00,0.0000E+00,1.0000E+00,5.3024E-02,6.3087E-01
116,1.4104E+00,0.0000E+00,1.0000E+00,4.9132E-02,7.3739E-01
117,1.3698E+00,0.0000E+00,1.0000E+00,5.1421E-02,6.7151E-01
118,1.5608E+00,0.0000E+00,1.0000E+00,9.7606E-02,4.3744E-02
119,1.4862E+00,0.0000E+00,1.0000E+00,7.0114E-02,2.7245E-01
120,1.3482E+00,0.0000E+00,1.0000E+00,5.2266E-02,6.4801E-01
121,1.5650E+00,0.0000E+00,1.0000E+00,1.0492E-01,2.3703E-02
122,1.3636E+00,0.0000E+00,1.0000E+00,7.8146E-02,1.7107E-01
123,1.5568E+00,0.0000E+00,1.0000E+00,5.7111E-02,5.3985E-01
124,1.4260E+00,0.0000E+00,1.0000E+00,7.9870E-02,1.5151E-01
125,1.2903E+00,0.0000E+00,1.0000E+00,5.5438E-02,5.7455E-01
126,1.4071E+00,0.0000E+00,1.0000E+00,9.6258E-02,4.7653E-02
127,1.3597E+00,0.0000E+00,1.0000E+00,6.4445E-02,3.7004E-01
128,1.4830E+00,0.0000E+00,1.0000E+00,5.7041E-02,5.4156E-01
129,1.4312E+00,0.0000E+00,1.0000E+00,6.2558E-02,4.0422E-01
130,1.4515E+00,0.0000E+00,1.0000E+00,1.0008E-01,3.4589E-02
131,1.5338E+00,0.0000E+00,1.0000E+00,1.0251E-01,2.9575E-02
132,1.4602E+00,0.0000E+00,1.0000E+00,6.9405E-02,2.8076E-01
